,total_nodes,total_matches,nodes
0,5,36.0,"{'6016', '72', '4811', '12139', '12140'}"
1,2,8.0,"{'229', '3871'}"
2,339,16875.0,"{'11051', '36767', '3410', '37729', '11429', '7671', '3580', '11415', '2279', '8296', '40165', '37773', '9351', '1686', '2239', '31651', '3526', '8971', '15339', '2259', '37484', '7469', '15820', '12186', '9359', '15639', '5212', '7081', '8996', '5590', '39340', '12559', '12814', '634', '3846', '2530', '14829', '10014', '13449', '14722', '26244', '31519', '17382', '10153', '11192', '14309', '16408', '1405', '13696', '13690', '14453', '9642', '12948', '3548', '14099', '7932', '7500', '19364', '38722', '34810', '11016', '14305', '15525', '15212', '15142', '13071', '12818', '12236', '12657', '4189', '10087', '10288', '8540', '11953', '2206', '12969', '5942', '12599', '14472', '13453', '9713', '1616', '13486', '13930', '14979', '35336', '5437', '30010', '16784', '1206', '10240', '2641', '626', '17156', '35478', '12423', '35272', '8077', '11267', '7885', '9325', '10841', '4580', '12843', '8781', '37464', '10298', '13432', '9912', '6106', '1055', '4145', '11416', '25510', '10649', '10417', '25525', '12561', '3549', '21915', '9714', '9897', '7208', '1175', '10976', '11353', '12366', '9490', '10241', '7015', '862', '15656', '6652', '10806', '6876', '32563', '11954', '12735', '21325', '10406', '13860', '13335', '11730', '5844', '16301', '25269', '9318', '10056', '10090', '10586', '24920', '11007', '1761', '18321', '7178', '10500', '9757', '14397', '24024', '18118', '14393', '3378', '4579', '8760', '25318', '35874', '39953', '9276', '9330', '40198', '11643', '14936', '6614', '10694', '2124', '11475', '5536', '5249', '1493', '17797', '12463', '14901', '1967', '11334', '13260', '39792', '14283', '40713', '10854', '15662', '14001', '2953', '18492', '4240', '28414', '5928', '8312', '1647', '5780', '4841', '15150', '13973', '13815', '25511', '12453', '2966', '15176', '8649', '8270', '24959', '14004', '19729', '27946', '42163', '14660', '35285', '294', '14694', '3854', '2817', '11986', '4497', '17108', '10353', '371', '953', '10168', '18270', '15675', '10118', '439', '15678', '15943', '3946', '6158', '35938', '12172', '9797', '8692', '12762', '38242', '6244', '14489', '3998', '10179', '17116', '9799', '1923', '10664', '4098', '14898', '12369', '15408', '13783', '13272', '4003', '5467', '15524', '10037', '1992', '25918', '9080', '15592', '12091', '14826', '5672', '10977', '13137', '31033', '18384', '13492', '7421', '11400', '7496', '3575', '37515', '22275', '14896', '9247', '35487', '5870', '12981', '9466', '11902', '8073', '25512', '1689', '5943', '6460', '38658', '20798', '14683', '16299', '12348', '9784', '3451', '40175', '5298', '15826', '6686', '7327', '7274', '9397', '12656', '2955', '11884', '14714', '3913', '26862', '11575', '10120', '7762', '12100', '7601', '3597', '8633', '13671', '13366', '16369', '14192', '14213', '4709', '13458', '10957', '1663', '15509', '12971', '8536', '29206', '14122', '3795', '3650', '2255', '705', '12976', '4527', '7985', '12557', '3300'}"
3,2,5.0,"{'1487', '9510'}"
4,2,4.0,"{'9171', '1772'}"
5,8,190.0,"{'14241', '6430', '14039', '3045', '13884', '8081', '2016', '12773'}"
6,3,10.0,"{'7900', '2272', '8798'}"
7,2,4.0,"{'3859', '2385'}"
8,4,17.0,"{'25796', '4861', '2386', '4530'}"
9,2,5.0,"{'2485', '8915'}"
