,id,usr_id,cntr_id,bkng_id,oppnt_id,match_id,centre_user_verified,centre_verified,created,date_time,match_type,result,score,sets_won,sport,status,team,user_opponent_verified,user_verified,verified,user_id,centre_id,booking_id,opponent
0,3,72,3,560,4811,3569ff25-b91f-4286-b3c5-c2a0e03c6608,a27ac136-1bdf-11e9-a311-4a63b083e8d2_a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-11-04T06:32:15,2021-11-04_11:00,singles,W,"[[8, 11]]",1,squash,CONFIRMED,player2,a0c4ab89-8519-48e7-96aa-7e1987bf9560_9da27bdc-13cf-4bb7-a699-894f34482a32_True,a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,True,a0c4ab89-8519-48e7-96aa-7e1987bf9560,a27ac136-1bdf-11e9-a311-4a63b083e8d2,9f864c93-66b4-48ff-95b3-bff5be71ffca,9da27bdc-13cf-4bb7-a699-894f34482a32
1,4,72,3,560,4811,6553e2ed-6a7c-4044-99d5-64c019fba188,a27ac136-1bdf-11e9-a311-4a63b083e8d2_a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-11-04T06:32:15,2021-11-04_11:00,singles,W,"[[8, 11]]",1,squash,CONFIRMED,player2,a0c4ab89-8519-48e7-96aa-7e1987bf9560_9da27bdc-13cf-4bb7-a699-894f34482a32_True,a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,True,a0c4ab89-8519-48e7-96aa-7e1987bf9560,a27ac136-1bdf-11e9-a311-4a63b083e8d2,9f864c93-66b4-48ff-95b3-bff5be71ffca,9da27bdc-13cf-4bb7-a699-894f34482a32
2,5,72,3,537,3580,9989716a-30b2-44ef-8888-84a8746ffa6f,a27ac136-1bdf-11e9-a311-4a63b083e8d2_a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-11-14T11:53:34,2021-11-14_17:00,singles,L,"[[11, 7]]",0,squash,CONFIRMED,player2,a0c4ab89-8519-48e7-96aa-7e1987bf9560_8a570cb0-41c8-4782-9dc1-54d5e810016b_True,a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,True,a0c4ab89-8519-48e7-96aa-7e1987bf9560,a27ac136-1bdf-11e9-a311-4a63b083e8d2,1d0eb25d-7447-4706-b2df-d9c8747e5dce,8a570cb0-41c8-4782-9dc1-54d5e810016b
5,8,72,3,557,4811,d94edc5e-b361-45cd-a4e8-abee64e9c1e9,a27ac136-1bdf-11e9-a311-4a63b083e8d2_a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-11-06T14:29:01,2021-11-06_18:00,singles,W,"[[11, 7], [4, 11], [9, 11], [11, 7], [4, 11], [2, 11], [9, 11]]",5,squash,CONFIRMED,player2,a0c4ab89-8519-48e7-96aa-7e1987bf9560_9da27bdc-13cf-4bb7-a699-894f34482a32_True,a0c4ab89-8519-48e7-96aa-7e1987bf9560_True,True,a0c4ab89-8519-48e7-96aa-7e1987bf9560,a27ac136-1bdf-11e9-a311-4a63b083e8d2,97d03d69-7992-47fc-87f6-88aaa99ab9fe,9da27bdc-13cf-4bb7-a699-894f34482a32
6,10,229,3,1101,3871,a0d67f69-f39b-4f29-8376-bf1f712e3cf1,a27ac136-1bdf-11e9-a311-4a63b083e8d2_19cd8abc-8af9-4b3d-9a3e-b053cf8d8440_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-11-13T11:30:58,2021-11-13_16:00,singles,W,"[[8, 11], [11, 5], [11, 4], [11, 0], [11, 7], [11, 7], [11, 7], [11, 2]]",7,squash,CONFIRMED,player1,19cd8abc-8af9-4b3d-9a3e-b053cf8d8440_bfc39d59-ca74-45dc-ab3d-0b7cb30d8de8_True,19cd8abc-8af9-4b3d-9a3e-b053cf8d8440_True,True,19cd8abc-8af9-4b3d-9a3e-b053cf8d8440,a27ac136-1bdf-11e9-a311-4a63b083e8d2,3aea5eff-8e50-4339-8404-ecb2335c50c3,bfc39d59-ca74-45dc-ab3d-0b7cb30d8de8
7,11,294,3,39552,7985,51029965-f9db-11eb-95d0-a18c1a1f2c89,a27ac136-1bdf-11e9-a311-4a63b083e8d2_3a1a2831-589f-458f-8a3e-5bd1ea6dbba7_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-08-10T13:20:31,2021-08-10_18:00,singles,W,"[[5, 11], [2, 11], [9, 11]]",3,squash,CONFIRMED,player2,3a1a2831-589f-458f-8a3e-5bd1ea6dbba7_ce8a80f6-32e8-4432-bd46-7fa081442274_True,3a1a2831-589f-458f-8a3e-5bd1ea6dbba7_True,True,3a1a2831-589f-458f-8a3e-5bd1ea6dbba7,a27ac136-1bdf-11e9-a311-4a63b083e8d2,1808bdb2-77fd-44b1-bd6e-668a21e2d9aa,ce8a80f6-32e8-4432-bd46-7fa081442274
8,13,303,3,1291,348,47cd4c91-142b-11ec-9bbd-f15c9acd16b1,a27ac136-1bdf-11e9-a311-4a63b083e8d2_654a542b-6f2f-4d1a-b8fa-b5463b59f4cc_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-09-13T00:55:40,2021-09-13_06:00,singles,W,"[[9, 11], [7, 11]]",2,squash,CONFIRMED,player2,654a542b-6f2f-4d1a-b8fa-b5463b59f4cc_a529840b-d806-49d9-b00a-f77a14d91430_True,654a542b-6f2f-4d1a-b8fa-b5463b59f4cc_True,True,654a542b-6f2f-4d1a-b8fa-b5463b59f4cc,a27ac136-1bdf-11e9-a311-4a63b083e8d2,9a2af86f-e3a3-4c7f-a945-d0895145d4a7,a529840b-d806-49d9-b00a-f77a14d91430
9,5702,9713,3,50613,10806,f64f90dc-17fb-453b-a69b-e2321b1fe6b3,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_4df34c88-e9de-4c58-a118-a51f93846a25_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-03-31T01:57:56,2022-03-31_07:00,singles,L,"[[7, 11]]",0,squash,CONFIRMED,player1,"""4df34c88-e9de-4c58-a118-a51f93846a25_190b56fc-2237-4bcb-a9a9-7ee5c10b937a_True",4df34c88-e9de-4c58-a118-a51f93846a25_True,True,4df34c88-e9de-4c58-a118-a51f93846a25,a27ac136-1bdf-11e9-a311-4a63b083e8d2,7747630f-d64b-4cc3-bdfa-36161abb30ad,190b56fc-2237-4bcb-a9a9-7ee5c10b937a
10,25,862,3,20028,4527,0ffd2147-26bc-44b2-9225-5ba0c6303d77,a27ac136-1bdf-11e9-a311-4a63b083e8d2_3ca6b953-ca37-4521-88bb-5ba2330a3a7c_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-11-06T09:08:15,2021-11-06_13:00,singles,L,"[[11, 7], [11, 9], [8, 11], [11, 6], [11, 2], [11, 8], [7, 11], [11, 6], [11, 5], [11, 5]]",2,squash,CONFIRMED,player2,3ca6b953-ca37-4521-88bb-5ba2330a3a7c_fb215246-a691-4419-a3cc-32568f0e7639_True,3ca6b953-ca37-4521-88bb-5ba2330a3a7c_True,True,3ca6b953-ca37-4521-88bb-5ba2330a3a7c,a27ac136-1bdf-11e9-a311-4a63b083e8d2,eb20c24c-7be6-4c48-8f2d-2b8e48537749,fb215246-a691-4419-a3cc-32568f0e7639
11,26,862,3,20023,4527,578002b3-ad5b-4174-b424-6b65752c7e7a,a27ac136-1bdf-11e9-a311-4a63b083e8d2_3ca6b953-ca37-4521-88bb-5ba2330a3a7c_True,a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2021-11-11T16:28:50,2021-11-11_21:00,singles,L,"[[11, 1], [9, 11], [11, 6], [12, 10], [11, 7], [11, 7], [8, 11], [11, 3], [11, 3], [11, 5], [11, 5], [11, 8]]",2,squash,CONFIRMED,player2,3ca6b953-ca37-4521-88bb-5ba2330a3a7c_fb215246-a691-4419-a3cc-32568f0e7639_True,3ca6b953-ca37-4521-88bb-5ba2330a3a7c_True,True,3ca6b953-ca37-4521-88bb-5ba2330a3a7c,a27ac136-1bdf-11e9-a311-4a63b083e8d2,99285ed3-69c3-478c-9ddd-385c92fa7b7d,fb215246-a691-4419-a3cc-32568f0e7639
